"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through November 2021",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2021,2,IN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"7,476,643"
2021,2,IN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"6,320"
2021,2,IN,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,967,915"
2021,2,IN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,887,615"
2021,2,IN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"41,129"
2021,2,KS,Total Electric Power Industry,Coal (Short Tons),"1,155,733"
2021,2,KS,Total Electric Power Industry,Natural Gas (Mcf),"1,715,850"
2021,2,KS,Total Electric Power Industry,Petroleum (Barrels),"72,455"
2021,2,KS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"87,035"
2021,2,KS,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,155,733"
2021,2,KS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,628,815"
2021,2,KS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"72,455"
2021,2,KY,Total Electric Power Industry,Coal (Short Tons),"2,314,441"
2021,2,KY,Total Electric Power Industry,Natural Gas (Mcf),"8,284,876"
2021,2,KY,Total Electric Power Industry,Petroleum (Barrels),"45,429"
2021,2,KY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"82,092"
2021,2,KY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"531,897"
2021,2,KY,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,314,441"
2021,2,KY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"7,670,887"
2021,2,KY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"45,429"
2021,2,LA,Total Electric Power Industry,Coal (Short Tons),"515,609"
2021,2,LA,Total Electric Power Industry,Natural Gas (Mcf),"32,174,202"
2021,2,LA,Total Electric Power Industry,Other Gases (Billion Btu),596
2021,2,LA,Total Electric Power Industry,Petroleum (Barrels),"666,460"
2021,2,LA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,2,LA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"10,841,966"
2021,2,LA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),596
2021,2,LA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,2,LA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"70,576"
2021,2,LA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,197,536"
2021,2,LA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"178,784"
2021,2,LA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"835,906"
2021,2,LA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2021,2,LA,"Electric Generators, Electric Utilities",Coal (Short Tons),"336,825"
2021,2,LA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"19,228,218"
2021,2,LA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"666,460"
2021,2,MA,Total Electric Power Industry,Coal (Short Tons),0
2021,2,MA,Total Electric Power Industry,Natural Gas (Mcf),"11,021,891"
2021,2,MA,Total Electric Power Industry,Petroleum (Barrels),"50,803"
2021,2,MA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,2,MA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"77,928"
2021,2,MA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),336
2021,2,MA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"205,626"
2021,2,MA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),781
2021,2,MA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"794,987"
2021,2,MA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),76
2021,2,MA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"9,901,970"
2021,2,MA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"43,767"
2021,2,MA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"41,380"
2021,2,MA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"5,843"
2021,2,MD,Total Electric Power Industry,Coal (Short Tons),"460,293"
2021,2,MD,Total Electric Power Industry,Natural Gas (Mcf),"6,290,322"
2021,2,MD,Total Electric Power Industry,Petroleum (Barrels),"34,134"
2021,2,MD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"21,259"
2021,2,MD,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,2,MD,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,2,MD,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"670,190"
2021,2,MD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),85
2021,2,MD,"Combined Heat and Power, Electric Power",Coal (Short Tons),"41,994"
2021,2,MD,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"160,782"
2021,2,MD,"Combined Heat and Power, Electric Power",Petroleum (Barrels),562
2021,2,MD,"Electric Generators, Independent Power Producers",Coal (Short Tons),"418,299"
2021,2,MD,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,645,360"
2021,2,MD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"32,047"
2021,2,MD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,792,731"
2021,2,MD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,440"
2021,2,ME,Total Electric Power Industry,Coal (Short Tons),"1,560"
2021,2,ME,Total Electric Power Industry,Natural Gas (Mcf),"1,755,465"
2021,2,ME,Total Electric Power Industry,Petroleum (Barrels),"11,289"
2021,2,ME,"Combined Heat and Power, Industrial Power",Coal (Short Tons),368
2021,2,ME,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"154,899"
2021,2,ME,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,839"
2021,2,ME,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"11,741"
2021,2,ME,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),333
2021,2,ME,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,192"
2021,2,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"2,391"
2021,2,ME,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,2,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,588,825"
2021,2,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"6,726"
2021,2,MI,Total Electric Power Industry,Coal (Short Tons),"1,787,820"
2021,2,MI,Total Electric Power Industry,Natural Gas (Mcf),"21,899,381"
2021,2,MI,Total Electric Power Industry,Other Gases (Billion Btu),643
2021,2,MI,Total Electric Power Industry,Petroleum (Barrels),"295,103"
2021,2,MI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),184
2021,2,MI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"272,241"
2021,2,MI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"16,907"
2021,2,MI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,2,MI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"249,726"
2021,2,MI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),24
2021,2,MI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"13,077"
2021,2,MI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"6,804,005"
2021,2,MI,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),533
2021,2,MI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,2,MI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,741,252"
2021,2,MI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2021,2,MI,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,774,559"
2021,2,MI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"9,832,157"
2021,2,MI,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),110
2021,2,MI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"278,172"
2021,2,MN,Total Electric Power Industry,Coal (Short Tons),"1,150,126"
2021,2,MN,Total Electric Power Industry,Natural Gas (Mcf),"5,345,144"
2021,2,MN,Total Electric Power Industry,Petroleum (Barrels),"17,094"
2021,2,MN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,179"
2021,2,MN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"51,065"
2021,2,MN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),79
2021,2,MN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"1,880"
2021,2,MN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"45,021"
2021,2,MN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),921
2021,2,MN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"256,045"
2021,2,MN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),133
2021,2,MN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,610,062"
2021,2,MN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),6
2021,2,MN,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,145,067"
2021,2,MN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,382,951"
2021,2,MN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"15,955"
2021,2,MO,Total Electric Power Industry,Coal (Short Tons),"3,215,342"
2021,2,MO,Total Electric Power Industry,Natural Gas (Mcf),"4,052,166"
2021,2,MO,Total Electric Power Industry,Petroleum (Barrels),"193,102"
2021,2,MO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,2,MO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"17,758"
2021,2,MO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,2,MO,"Combined Heat and Power, Commercial Power",Coal (Short Tons),774
2021,2,MO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"44,915"
2021,2,MO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),2
2021,2,MO,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,2,MO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"11,387"
2021,2,MO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,2,MO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,066,967"
2021,2,MO,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,214,568"
2021,2,MO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,911,139"
2021,2,MO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"193,100"
2021,2,MS,Total Electric Power Industry,Coal (Short Tons),"406,080"
2021,2,MS,Total Electric Power Industry,Natural Gas (Mcf),"28,738,656"
2021,2,MS,Total Electric Power Industry,Petroleum (Barrels),"4,045"
2021,2,MS,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,2,MS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"249,312"
2021,2,MS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),495
2021,2,MS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,2,MS,"Electric Generators, Independent Power Producers",Coal (Short Tons),"246,083"
2021,2,MS,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"5,104"
2021,2,MS,"Electric Generators, Electric Utilities",Coal (Short Tons),"159,997"
2021,2,MS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"28,484,240"
2021,2,MS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,550"
2021,2,MT,Total Electric Power Industry,Coal (Short Tons),"566,391"
2021,2,MT,Total Electric Power Industry,Natural Gas (Mcf),"314,477"
2021,2,MT,Total Electric Power Industry,Other Gases (Billion Btu),13
2021,2,MT,Total Electric Power Industry,Petroleum (Barrels),"70,615"
2021,2,MT,"Combined Heat and Power, Industrial Power",Coal (Short Tons),622
2021,2,MT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,276"
2021,2,MT,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),3
2021,2,MT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,2,MT,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),10
2021,2,MT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"68,999"
2021,2,MT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"550,247"
2021,2,MT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"60,974"
2021,2,MT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,558"
2021,2,MT,"Electric Generators, Electric Utilities",Coal (Short Tons),"15,522"
2021,2,MT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"250,227"
2021,2,MT,"Electric Generators, Electric Utilities",Petroleum (Barrels),58
2021,2,NC,Total Electric Power Industry,Coal (Short Tons),"1,130,806"
2021,2,NC,Total Electric Power Industry,Natural Gas (Mcf),"22,417,149"
2021,2,NC,Total Electric Power Industry,Petroleum (Barrels),"122,444"
2021,2,NC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,548"
2021,2,NC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"89,439"
2021,2,NC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),868
2021,2,NC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"1,135"
2021,2,NC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"100,531"
2021,2,NC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),148
2021,2,NC,"Combined Heat and Power, Electric Power",Coal (Short Tons),523
2021,2,NC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),32
2021,2,NC,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,145"
2021,2,NC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,434,195"
2021,2,NC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"3,638"
2021,2,NC,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,125,455"
2021,2,NC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"18,792,984"
2021,2,NC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"117,758"
2021,2,ND,Total Electric Power Industry,Coal (Short Tons),"1,781,169"
2021,2,ND,Total Electric Power Industry,Natural Gas (Mcf),"1,028,291"
2021,2,ND,Total Electric Power Industry,Other Gases (Billion Btu),34
2021,2,ND,Total Electric Power Industry,Petroleum (Barrels),"3,245"
2021,2,ND,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,593"
2021,2,ND,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"24,717"
2021,2,ND,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),34
2021,2,ND,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,2,ND,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),90
2021,2,ND,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,778,576"
2021,2,ND,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,003,574"
2021,2,ND,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,155"
2021,2,NE,Total Electric Power Industry,Coal (Short Tons),"1,071,047"
2021,2,NE,Total Electric Power Industry,Natural Gas (Mcf),"1,018,411"
2021,2,NE,Total Electric Power Industry,Petroleum (Barrels),"17,983"
2021,2,NE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"21,810"
2021,2,NE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),0
2021,2,NE,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"4,839"
2021,2,NE,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,049,237"
2021,2,NE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,013,572"
2021,2,NE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"17,983"
2021,2,NH,Total Electric Power Industry,Coal (Short Tons),"53,893"
2021,2,NH,Total Electric Power Industry,Natural Gas (Mcf),"2,316,490"
2021,2,NH,Total Electric Power Industry,Petroleum (Barrels),"32,311"
2021,2,NH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"15,760"
2021,2,NH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,2,NH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,400"
2021,2,NH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,496"
2021,2,NH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,288,942"
2021,2,NH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"19,865"
2021,2,NH,"Electric Generators, Electric Utilities",Coal (Short Tons),"53,893"
2021,2,NH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"9,388"
2021,2,NH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"10,950"
2021,2,NJ,Total Electric Power Industry,Coal (Short Tons),"47,843"
2021,2,NJ,Total Electric Power Industry,Natural Gas (Mcf),"12,977,153"
2021,2,NJ,Total Electric Power Industry,Other Gases (Billion Btu),36
2021,2,NJ,Total Electric Power Industry,Petroleum (Barrels),"38,712"
2021,2,NJ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"148,995"
2021,2,NJ,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),36
2021,2,NJ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,2,NJ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"104,620"
2021,2,NJ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),212
2021,2,NJ,"Combined Heat and Power, Electric Power",Coal (Short Tons),"47,843"
2021,2,NJ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,777,922"
2021,2,NJ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"21,213"
2021,2,NJ,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
